id,nome,marca,preco,ano_modelo,cambio,combustivel,cor,portas,km,descricao,opcionais,url,data_coleta,foto
130687,Chevrolet Montana,Chevrolet,"R$ 104.990,00",2023/2024,Manual,Flex,Preto,4,49000,"(1PVA 2026 PAGO TOTAL), Impecável, todo original, sem detalhes na pintura, LAUDO APROVADO SEM RESTRIÇÕES, carro da cidade, manual, chave cópia, interior perfeito, MIDIA original, pneus novos, estepe s","2 Air Bags, Alarme, Ar Condicionado, Áudio - Sistema de Som, Banco Motorista com Regulagem de Altura, Câmbio Manual, CD Player Original, Controle de Som no Volante, Direção Hidráulica, Estepe sem Uso",https://www.anisioautomoveis.com.br/veiculo/130687-chevrolet-montana,2026-06-10 09:03:23,https://cliente.integracarros.com.br/imagens/veiculos/public/130687.ae464b26db128d8.jpg
130978,Volkswagen Virtus,Volkswagen,"R$ 104.990,00",2024/2025,Automático,Flex,Preto,4,48000,"(IPVA 2026 PAGO TOTAL), NOVÍSSIMO, todo original, sem detalhes na pintura, LAUDO APROVADO SEM RESTRIÇÕES, carro da cidade, manual, chave cópia, interior impecável, MIDIA e rodas originais, pneus, este","2 Air Bags, Alarme, Ar Condicionado, Áudio - Sistema de Som, Banco Motorista com Regulagem de Altura, Câmbio Automático, CD Player Original, Controle de Som no Volante, Desembaçador Traseiro, Direção Hidráulica",https://www.anisioautomoveis.com.br/veiculo/130978-volkswagen-virtus,2026-06-10 09:03:23,https://cliente.integracarros.com.br/imagens/veiculos/public/130978.4356d9f6e2f2818.jpg
130979,Volkswagen Virtus,Volkswagen,"R$ 94.990,00",2024/2024,Manual,Flex,Branco,4,9000,"(IPVA 2026 PAGO TOTAL), MARAVILHOSO, SÓ 9.000 Km, todo original, sem detalhes na pintura, nunca bateu, LAUDO APROVADO SEM RESTRIÇÕES, carro da cidade, manual, chave cópia, interior impecável, MIDIA e ","2 Air Bags, Alarme, Ar Condicionado, Banco Motorista com Regulagem de Altura, Câmbio Manual, CD Player Original, Controle de Som no Volante, Desembaçador Traseiro, Direção Hidráulica, Estepe sem Uso",https://www.anisioautomoveis.com.br/veiculo/130979-volkswagen-virtus,2026-06-10 09:03:23,https://cliente.integracarros.com.br/imagens/veiculos/public/130979.8e5b40f1890a7e6.jpg
132929,Honda Fit,Honda,"R$ 61.990,00",2015/2015,Manual,Flex,Cinza,4,136000,"IMPECÁVEL, todo original, sem detalhes na pintura, LAUDO APROVADO SEM RESTRIÇÕES, carro da cidade, manual, chave cópia, interior perfeito, SOM e rodas originais, 4 pneus novos, estepe sem uso. (Carro ","2 Air Bags, Alarme, Ar Condicionado, Banco Motorista com Regulagem de Altura, Câmbio Manual, CD Player Original, Direção Hidráulica, Freios ABS, Insul Film, Limpador Traseiro",https://www.anisioautomoveis.com.br/veiculo/132929-honda-fit,2026-06-10 09:03:23,https://cliente.integracarros.com.br/imagens/veiculos/public/132929.6ad68db215c2446.jpg
133330,Jeep Renegade,Jeep,"R$ 89.990,00",2018/2018,Automático,Diesel,Branco,4,103000,,"2 Air Bags, Alarme, Ar Condicionado, Áudio - Sistema de Som, Banco Motorista com Regulagem de Altura, Bancos em Couro, Câmbio Automático, CD Player Original, Controle de Som no Volante, Direção Hidráulica",https://www.anisioautomoveis.com.br/veiculo/133330-jeep-renegade,2026-06-10 09:03:23,https://cliente.integracarros.com.br/imagens/veiculos/public/133330.f852f0f5460b57c.jpg
134881,Fiat Toro,Fiat,"R$ 124.990,00",2024/2024,Automático,Flex,Branco,4,54000,"IMPECÁVEL, toda original, sem detalhes na pintura, LAUDO APROVADO SEM RESTRIÇÕES, carro da cidade, manual, chave cópia, interior perfeito, MIDIA e rodas originais, pneus novos. (Carro MUITO CONSERVADO","2 Air Bags, Alarme, Ar Condicionado, Banco Motorista com Regulagem de Altura, Câmbio Automático, CD Player Original, Controle de Som no Volante, Desembaçador Traseiro, Direção Hidráulica, Farol de Milha",https://www.anisioautomoveis.com.br/veiculo/134881-fiat-toro,2026-06-10 09:03:23,https://cliente.integracarros.com.br/imagens/veiculos/public/134881.784f5c4c74e63d5.jpg
135191,Audi Q3,Audi,"R$ 117.990,00",2018/2019,Automático,Flex,Prata,4,97000,"MARAVILHOSA, toda original, sem detalhes na pintura, LAUDO APROVADO SE RESTRIÇÕES, manual com todas revisões na concessionária (sem pular nenhuma), chave cópia sem uso, TETO SOLAR, MIDIA e rodas aro 1","4 Air Bags, Alarme, Ar Condicionado, Áudio - Sistema de Som, Banco Motorista com Regulagem de Altura, Bancos em Couro, Câmbio Automático, CD Player Original, Controle de Som no Volante, Desembaçador Traseiro",https://www.anisioautomoveis.com.br/veiculo/135191-audi-q3,2026-06-10 09:03:23,https://cliente.integracarros.com.br/imagens/veiculos/public/135191.37339608b5dad69.jpg
135779,Fiat Toro,Fiat,"R$ 114.990,00",2022/2023,Automático,Flex,Cinza,4,64000,"IMPECÁVEL, toda original, sem detalhes na pintura, LAUDO APROVADO SEM RESTRIÇÕES, carro da cidade, manual, chave cópia, interior perfeito, MIDIA e rodas originais, pneus novos, estepe sem uso. (Carro ","2 Air Bags, Alarme, Ar Condicionado, Banco Motorista com Regulagem de Altura, Câmbio Automático, CD Player Original, Controle de Som no Volante, Desembaçador Traseiro, Direção Hidráulica, Estepe sem Uso",https://www.anisioautomoveis.com.br/veiculo/135779-fiat-toro,2026-06-10 09:03:23,https://cliente.integracarros.com.br/imagens/veiculos/public/135779.3acf806e63682e5.jpg
135782,Hyundai Creta,Hyundai,"R$ 104.990,00",2024/2024,Automático,Flex,Preto,4,52000,"MARAVILHOSA, toda original, sem detalhes na pintura, LAUDO APROVADO SEM RESTRIÇÕES, carro da cidade, manual, chave cópia, interior impecável, SOM e rodas originais, pneus novos, estepe sem uso. (Carro","2 Air Bags, Alarme, Ar Condicionado, Áudio - Sistema de Som, Banco Motorista com Regulagem de Altura, Câmbio Automático, CD Player Original, Desembaçador Traseiro, Direção Hidráulica, Estepe sem Uso",https://www.anisioautomoveis.com.br/veiculo/135782-hyundai-creta,2026-06-10 09:03:23,https://cliente.integracarros.com.br/imagens/veiculos/public/135782.b547c791f96bcaa.jpg
136846,Nissan Kicks,Nissan,"R$ 101.990,00",2024/2024,Automático,Flex,Preto,4,31000,"IMPECÁVEL, toda original, sem detalhes na pintura, LAUDO APROVADO SEM RESTRIÇÕES, carro da cidade, manual, chave cópia, interior perfeito, MIDIA e rodas originais, pneus novos, estepe sem uso. (Carro ","2 Air Bags, Alarme, Ar Condicionado, Áudio - Sistema de Som, Banco Motorista com Regulagem de Altura, Câmbio Automático, CD Player Original, Controle de Som no Volante, Direção Hidráulica, Estepe sem Uso",https://www.anisioautomoveis.com.br/veiculo/136846-nissan-kicks,2026-06-10 09:03:23,https://cliente.integracarros.com.br/imagens/veiculos/public/136846.0f751bf102b57d5.jpg
